candidate_id,family,symbol,lookback,return_threshold,volume_ratio
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,VOD,48,0.02,1.5
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,VOD,48,0.02,2.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,VOD,96,0.0,1.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,VOD,96,0.0,1.5
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,VOD,96,0.0,2.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,VOD,96,0.01,1.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,VOD,96,0.01,1.5
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,VOD,96,0.01,2.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,VOD,96,0.02,1.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,VOD,96,0.02,1.5
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,VOD,96,0.02,2.0
