candidate_id,family,symbol,fast_window,slow_window
trend__GBPUSD__fast_window-48__slow_window-120,trend,GBPUSD,48,120
trend__GBPUSD__fast_window-48__slow_window-240,trend,GBPUSD,48,240
trend__GBPUSD__fast_window-48__slow_window-480,trend,GBPUSD,48,480
trend__GBPUSD__fast_window-48__slow_window-72,trend,GBPUSD,48,72
trend__SAP__fast_window-12__slow_window-120,trend,SAP,12,120
trend__SAP__fast_window-12__slow_window-240,trend,SAP,12,240
trend__SAP__fast_window-12__slow_window-480,trend,SAP,12,480
trend__SAP__fast_window-12__slow_window-72,trend,SAP,12,72
trend__SAP__fast_window-24__slow_window-120,trend,SAP,24,120
trend__SAP__fast_window-24__slow_window-240,trend,SAP,24,240
trend__SAP__fast_window-24__slow_window-480,trend,SAP,24,480
trend__SAP__fast_window-24__slow_window-72,trend,SAP,24,72
trend__SAP__fast_window-48__slow_window-120,trend,SAP,48,120
trend__SAP__fast_window-48__slow_window-240,trend,SAP,48,240
trend__SAP__fast_window-48__slow_window-480,trend,SAP,48,480
trend__SAP__fast_window-48__slow_window-72,trend,SAP,48,72
trend__USDJPY__fast_window-12__slow_window-120,trend,USDJPY,12,120
trend__USDJPY__fast_window-12__slow_window-240,trend,USDJPY,12,240
trend__USDJPY__fast_window-12__slow_window-480,trend,USDJPY,12,480
trend__USDJPY__fast_window-12__slow_window-72,trend,USDJPY,12,72
trend__USDJPY__fast_window-24__slow_window-120,trend,USDJPY,24,120
trend__USDJPY__fast_window-24__slow_window-240,trend,USDJPY,24,240
trend__USDJPY__fast_window-24__slow_window-480,trend,USDJPY,24,480
trend__USDJPY__fast_window-24__slow_window-72,trend,USDJPY,24,72
trend__USDJPY__fast_window-48__slow_window-120,trend,USDJPY,48,120
trend__USDJPY__fast_window-48__slow_window-240,trend,USDJPY,48,240
trend__USDJPY__fast_window-48__slow_window-480,trend,USDJPY,48,480
trend__USDJPY__fast_window-48__slow_window-72,trend,USDJPY,48,72
trend__VOD__fast_window-12__slow_window-120,trend,VOD,12,120
trend__VOD__fast_window-12__slow_window-240,trend,VOD,12,240
trend__VOD__fast_window-12__slow_window-480,trend,VOD,12,480
trend__VOD__fast_window-12__slow_window-72,trend,VOD,12,72
trend__VOD__fast_window-24__slow_window-120,trend,VOD,24,120
trend__VOD__fast_window-24__slow_window-240,trend,VOD,24,240
trend__VOD__fast_window-24__slow_window-480,trend,VOD,24,480
trend__VOD__fast_window-24__slow_window-72,trend,VOD,24,72
trend__VOD__fast_window-48__slow_window-120,trend,VOD,48,120
trend__VOD__fast_window-48__slow_window-240,trend,VOD,48,240
trend__VOD__fast_window-48__slow_window-480,trend,VOD,48,480
trend__VOD__fast_window-48__slow_window-72,trend,VOD,48,72
trend__XAGUSD__fast_window-12__slow_window-120,trend,XAGUSD,12,120
trend__XAGUSD__fast_window-12__slow_window-240,trend,XAGUSD,12,240
trend__XAGUSD__fast_window-12__slow_window-480,trend,XAGUSD,12,480
trend__XAGUSD__fast_window-12__slow_window-72,trend,XAGUSD,12,72
trend__XAGUSD__fast_window-24__slow_window-120,trend,XAGUSD,24,120
trend__XAGUSD__fast_window-24__slow_window-240,trend,XAGUSD,24,240
trend__XAGUSD__fast_window-24__slow_window-480,trend,XAGUSD,24,480
trend__XAGUSD__fast_window-24__slow_window-72,trend,XAGUSD,24,72
trend__XAGUSD__fast_window-48__slow_window-120,trend,XAGUSD,48,120
trend__XAGUSD__fast_window-48__slow_window-240,trend,XAGUSD,48,240
trend__XAGUSD__fast_window-48__slow_window-480,trend,XAGUSD,48,480
trend__XAGUSD__fast_window-48__slow_window-72,trend,XAGUSD,48,72
trend__XAUUSD__fast_window-12__slow_window-120,trend,XAUUSD,12,120
trend__XAUUSD__fast_window-12__slow_window-240,trend,XAUUSD,12,240
trend__XAUUSD__fast_window-12__slow_window-480,trend,XAUUSD,12,480
trend__XAUUSD__fast_window-12__slow_window-72,trend,XAUUSD,12,72
trend__XAUUSD__fast_window-24__slow_window-120,trend,XAUUSD,24,120
trend__XAUUSD__fast_window-24__slow_window-240,trend,XAUUSD,24,240
trend__XAUUSD__fast_window-24__slow_window-480,trend,XAUUSD,24,480
trend__XAUUSD__fast_window-24__slow_window-72,trend,XAUUSD,24,72
trend__XAUUSD__fast_window-48__slow_window-120,trend,XAUUSD,48,120
trend__XAUUSD__fast_window-48__slow_window-240,trend,XAUUSD,48,240
trend__XAUUSD__fast_window-48__slow_window-480,trend,XAUUSD,48,480
trend__XAUUSD__fast_window-48__slow_window-72,trend,XAUUSD,48,72
